               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.061973,           0.0096414,                   0,             0.62605,             0.61947,             0.57414,             0.16475,              0.0603,           0.0091162,                   0,            0.006634,            0.006634,            0.006634
                  87,            0.062524,            0.010218,                   0,             0.73357,             0.60915,               0.673,             0.23608,            0.058541,           0.0089773,                   0,           0.0065944,           0.0065944,           0.0065944
                  88,            0.061497,            0.010689,                   0,             0.77423,              0.6373,             0.68924,              0.2724,             0.05559,           0.0096216,                   0,           0.0065548,           0.0065548,           0.0065548
                  89,            0.061155,            0.010454,                   0,             0.69077,             0.60177,             0.58604,             0.22505,            0.059133,            0.010263,                   0,           0.0065152,           0.0065152,           0.0065152
                  90,            0.059235,            0.010842,                   0,             0.76092,              0.5915,             0.62726,              0.2006,            0.061129,           0.0098735,                   0,           0.0064756,           0.0064756,           0.0064756
                  91,            0.062792,           0.0099476,                   0,             0.67645,             0.43363,             0.52401,             0.16847,            0.067487,            0.011619,                   0,            0.006436,            0.006436,            0.006436
                  92,            0.062106,            0.010224,                   0,             0.82284,             0.61062,             0.72865,             0.23723,            0.057597,           0.0095493,                   0,           0.0063964,           0.0063964,           0.0063964
                  93,            0.059493,            0.010381,                   0,             0.74768,             0.66372,             0.70399,             0.27087,             0.05653,            0.008508,                   0,           0.0063568,           0.0063568,           0.0063568
                  94,            0.059536,           0.0098526,                   0,             0.69009,             0.63059,             0.63967,             0.22668,            0.058698,           0.0091459,                   0,           0.0063172,           0.0063172,           0.0063172
                  95,             0.05737,           0.0098614,                   0,             0.70652,             0.29204,             0.35872,             0.12568,            0.075856,                 nan,                   0,           0.0062776,           0.0062776,           0.0062776
                  96,            0.055769,            0.010153,                   0,             0.77431,             0.62832,             0.64718,             0.23504,            0.056991,            0.009277,                   0,            0.006238,            0.006238,            0.006238
                  97,            0.058003,            0.010158,                   0,              0.7554,             0.63717,             0.70029,             0.25442,            0.054821,                 nan,                   0,           0.0061984,           0.0061984,           0.0061984
                  98,             0.05818,            0.010079,                   0,             0.81051,             0.67257,             0.74399,             0.30053,            0.054062,                 nan,                   0,           0.0061588,           0.0061588,           0.0061588
                  99,            0.057378,           0.0096294,                   0,             0.82624,             0.67329,             0.70538,             0.23655,            0.055203,                 nan,                   0,           0.0061192,           0.0061192,           0.0061192
                 100,            0.057852,            0.010746,                   0,             0.54795,             0.72566,             0.62525,             0.24991,             0.05419,            0.012894,                   0,           0.0060796,           0.0060796,           0.0060796
                 101,            0.055579,            0.010046,                   0,             0.76036,             0.75813,             0.74855,             0.25242,            0.056586,                 nan,                   0,             0.00604,             0.00604,             0.00604
                 102,             0.05533,            0.009433,                   0,             0.81098,             0.60177,             0.70762,             0.25126,            0.055706,           0.0095108,                   0,           0.0060004,           0.0060004,           0.0060004
                 103,            0.058132,           0.0098952,                   0,             0.81692,              0.6318,             0.71437,             0.25417,            0.056994,           0.0099508,                   0,           0.0059608,           0.0059608,           0.0059608
                 104,            0.054652,            0.010164,                   0,             0.83166,             0.70796,             0.77154,             0.30853,            0.051476,           0.0088708,                   0,           0.0059212,           0.0059212,           0.0059212
                 105,            0.057754,           0.0099549,                   0,             0.76056,             0.74336,             0.73085,             0.27312,            0.052462,           0.0095048,                   0,           0.0058816,           0.0058816,           0.0058816
                 106,             0.05541,           0.0097124,                   0,             0.56334,             0.54867,             0.56325,             0.21411,            0.060301,            0.012897,                   0,            0.005842,            0.005842,            0.005842
                 107,            0.056205,           0.0096812,                   0,             0.83717,             0.69027,             0.75272,             0.27181,            0.053172,           0.0093517,                   0,           0.0058024,           0.0058024,           0.0058024
                 108,            0.057772,            0.010114,                   0,              0.7667,             0.46903,             0.56172,              0.2178,            0.058998,            0.010592,                   0,           0.0057628,           0.0057628,           0.0057628
                 109,             0.05769,           0.0093411,                   0,             0.68803,             0.40708,             0.45568,             0.18857,            0.065322,            0.014843,                   0,           0.0057232,           0.0057232,           0.0057232
                 110,            0.054996,           0.0092298,                   0,             0.59484,             0.41577,             0.41319,             0.15472,            0.066457,            0.013651,                   0,           0.0056836,           0.0056836,           0.0056836
                 111,            0.053237,            0.010041,                   0,             0.73936,             0.67257,             0.71325,             0.28965,            0.053127,            0.009298,                   0,            0.005644,            0.005644,            0.005644
                 112,            0.053731,            0.010191,                   0,             0.81324,             0.74336,             0.78824,             0.30238,             0.05121,           0.0092282,                   0,           0.0056044,           0.0056044,           0.0056044
